ResponseID,Product,AdNumber,AdType,QuestionType,QuestionNumber,Rating,Age,ShoppingFreq,LLM_Model
R_4S35m4DfqEz3acA,Watch,1,Human Both,Purchase Intent,1,1,2,2,Human
R_4S35m4DfqEz3acA,Watch,1,Human Both,Visual Appeal,2,1,2,2,Human
R_4S35m4DfqEz3acA,Watch,1,Human Both,Value Convincing,3,1,2,2,Human
R_4S35m4DfqEz3acA,Watch,1,Human Both,Message Clarity,4,7,2,2,Human
R_4S35m4DfqEz3acA,Watch,1,Human Both,Trustworthiness,5,2,2,2,Human
R_4S35m4DfqEz3acA,Watch,2,Human Image + ChatGPT Copy,Purchase Intent,1,1,2,2,ChatGPT
R_4S35m4DfqEz3acA,Watch,2,Human Image + ChatGPT Copy,Visual Appeal,2,1,2,2,ChatGPT
R_4S35m4DfqEz3acA,Watch,2,Human Image + ChatGPT Copy,Value Convincing,3,3,2,2,ChatGPT
R_4S35m4DfqEz3acA,Watch,2,Human Image + ChatGPT Copy,Message Clarity,4,7,2,2,ChatGPT
R_4S35m4DfqEz3acA,Watch,2,Human Image + ChatGPT Copy,Trustworthiness,5,3,2,2,ChatGPT
R_4S35m4DfqEz3acA,Watch,3,Human Image + Claude Copy,Purchase Intent,1,1,2,2,Claude
R_4S35m4DfqEz3acA,Watch,3,Human Image + Claude Copy,Visual Appeal,2,2,2,2,Claude
R_4S35m4DfqEz3acA,Watch,3,Human Image + Claude Copy,Value Convincing,3,3,2,2,Claude
R_4S35m4DfqEz3acA,Watch,3,Human Image + Claude Copy,Message Clarity,4,6,2,2,Claude
R_4S35m4DfqEz3acA,Watch,3,Human Image + Claude Copy,Trustworthiness,5,3,2,2,Claude
R_4S35m4DfqEz3acA,Watch,4,Human Image + Deepseek Copy,Purchase Intent,1,1,2,2,Deepseek
R_4S35m4DfqEz3acA,Watch,4,Human Image + Deepseek Copy,Visual Appeal,2,3,2,2,Deepseek
R_4S35m4DfqEz3acA,Watch,4,Human Image + Deepseek Copy,Value Convincing,3,4,2,2,Deepseek
R_4S35m4DfqEz3acA,Watch,4,Human Image + Deepseek Copy,Message Clarity,4,4,2,2,Deepseek
R_4S35m4DfqEz3acA,Watch,4,Human Image + Deepseek Copy,Trustworthiness,5,4,2,2,Deepseek
R_4S35m4DfqEz3acA,Watch,5,Human Image + Gemini Copy,Purchase Intent,1,3,2,2,Gemini
R_4S35m4DfqEz3acA,Watch,5,Human Image + Gemini Copy,Visual Appeal,2,1,2,2,Gemini
R_4S35m4DfqEz3acA,Watch,5,Human Image + Gemini Copy,Value Convincing,3,5,2,2,Gemini
R_4S35m4DfqEz3acA,Watch,5,Human Image + Gemini Copy,Message Clarity,4,5,2,2,Gemini
R_4S35m4DfqEz3acA,Watch,5,Human Image + Gemini Copy,Trustworthiness,5,4,2,2,Gemini
R_4S35m4DfqEz3acA,Watch,6,ChatGPT Image + Human Copy,Purchase Intent,1,5,2,2,ChatGPT
R_4S35m4DfqEz3acA,Watch,6,ChatGPT Image + Human Copy,Visual Appeal,2,7,2,2,ChatGPT
R_4S35m4DfqEz3acA,Watch,6,ChatGPT Image + Human Copy,Value Convincing,3,7,2,2,ChatGPT
R_4S35m4DfqEz3acA,Watch,6,ChatGPT Image + Human Copy,Message Clarity,4,7,2,2,ChatGPT
R_4S35m4DfqEz3acA,Watch,6,ChatGPT Image + Human Copy,Trustworthiness,5,6,2,2,ChatGPT
R_4S35m4DfqEz3acA,Watch,7,Claude Image + Human Copy,Purchase Intent,1,7,2,2,Claude
R_4S35m4DfqEz3acA,Watch,7,Claude Image + Human Copy,Visual Appeal,2,7,2,2,Claude
R_4S35m4DfqEz3acA,Watch,7,Claude Image + Human Copy,Value Convincing,3,7,2,2,Claude
R_4S35m4DfqEz3acA,Watch,7,Claude Image + Human Copy,Message Clarity,4,7,2,2,Claude
R_4S35m4DfqEz3acA,Watch,7,Claude Image + Human Copy,Trustworthiness,5,7,2,2,Claude
R_4S35m4DfqEz3acA,Watch,8,Deepseek Image + Human Copy,Purchase Intent,1,4,2,2,Deepseek
R_4S35m4DfqEz3acA,Watch,8,Deepseek Image + Human Copy,Visual Appeal,2,4,2,2,Deepseek
R_4S35m4DfqEz3acA,Watch,8,Deepseek Image + Human Copy,Value Convincing,3,4,2,2,Deepseek
R_4S35m4DfqEz3acA,Watch,8,Deepseek Image + Human Copy,Message Clarity,4,7,2,2,Deepseek
R_4S35m4DfqEz3acA,Watch,8,Deepseek Image + Human Copy,Trustworthiness,5,7,2,2,Deepseek
R_4S35m4DfqEz3acA,Watch,9,Gemini Image + Human Copy,Purchase Intent,1,3,2,2,Gemini
R_4S35m4DfqEz3acA,Watch,9,Gemini Image + Human Copy,Visual Appeal,2,3,2,2,Gemini
R_4S35m4DfqEz3acA,Watch,9,Gemini Image + Human Copy,Value Convincing,3,4,2,2,Gemini
R_4S35m4DfqEz3acA,Watch,9,Gemini Image + Human Copy,Message Clarity,4,4,2,2,Gemini
R_4S35m4DfqEz3acA,Watch,9,Gemini Image + Human Copy,Trustworthiness,5,5,2,2,Gemini
R_4S35m4DfqEz3acA,Watch,10,ChatGPT Both,Purchase Intent,1,3,2,2,ChatGPT
R_4S35m4DfqEz3acA,Watch,10,ChatGPT Both,Visual Appeal,2,4,2,2,ChatGPT
R_4S35m4DfqEz3acA,Watch,10,ChatGPT Both,Value Convincing,3,5,2,2,ChatGPT
R_4S35m4DfqEz3acA,Watch,10,ChatGPT Both,Message Clarity,4,5,2,2,ChatGPT
R_4S35m4DfqEz3acA,Watch,10,ChatGPT Both,Trustworthiness,5,6,2,2,ChatGPT
R_4S35m4DfqEz3acA,Watch,11,Claude Both,Purchase Intent,1,7,2,2,Claude
R_4S35m4DfqEz3acA,Watch,11,Claude Both,Visual Appeal,2,7,2,2,Claude
R_4S35m4DfqEz3acA,Watch,11,Claude Both,Value Convincing,3,7,2,2,Claude
R_4S35m4DfqEz3acA,Watch,11,Claude Both,Message Clarity,4,7,2,2,Claude
R_4S35m4DfqEz3acA,Watch,11,Claude Both,Trustworthiness,5,7,2,2,Claude
R_4S35m4DfqEz3acA,Watch,12,Deepseek Both,Purchase Intent,1,4,2,2,Deepseek
R_4S35m4DfqEz3acA,Watch,12,Deepseek Both,Visual Appeal,2,3,2,2,Deepseek
R_4S35m4DfqEz3acA,Watch,12,Deepseek Both,Value Convincing,3,3,2,2,Deepseek
R_4S35m4DfqEz3acA,Watch,12,Deepseek Both,Message Clarity,4,6,2,2,Deepseek
R_4S35m4DfqEz3acA,Watch,12,Deepseek Both,Trustworthiness,5,4,2,2,Deepseek
R_4S35m4DfqEz3acA,Watch,13,Gemini Both,Purchase Intent,1,2,2,2,Gemini
R_4S35m4DfqEz3acA,Watch,13,Gemini Both,Visual Appeal,2,2,2,2,Gemini
R_4S35m4DfqEz3acA,Watch,13,Gemini Both,Value Convincing,3,3,2,2,Gemini
R_4S35m4DfqEz3acA,Watch,13,Gemini Both,Message Clarity,4,6,2,2,Gemini
R_4S35m4DfqEz3acA,Watch,13,Gemini Both,Trustworthiness,5,4,2,2,Gemini
R_6v7FtH5zhON27qX,Watch,1,Human Both,Purchase Intent,1,5,1,3,Human
R_6v7FtH5zhON27qX,Watch,1,Human Both,Visual Appeal,2,5,1,3,Human
R_6v7FtH5zhON27qX,Watch,1,Human Both,Value Convincing,3,6,1,3,Human
R_6v7FtH5zhON27qX,Watch,1,Human Both,Message Clarity,4,5,1,3,Human
R_6v7FtH5zhON27qX,Watch,1,Human Both,Trustworthiness,5,5,1,3,Human
R_6v7FtH5zhON27qX,Watch,2,Human Image + ChatGPT Copy,Purchase Intent,1,7,1,3,ChatGPT
R_6v7FtH5zhON27qX,Watch,2,Human Image + ChatGPT Copy,Visual Appeal,2,7,1,3,ChatGPT
R_6v7FtH5zhON27qX,Watch,2,Human Image + ChatGPT Copy,Value Convincing,3,7,1,3,ChatGPT
R_6v7FtH5zhON27qX,Watch,2,Human Image + ChatGPT Copy,Message Clarity,4,7,1,3,ChatGPT
R_6v7FtH5zhON27qX,Watch,2,Human Image + ChatGPT Copy,Trustworthiness,5,7,1,3,ChatGPT
R_6v7FtH5zhON27qX,Watch,3,Human Image + Claude Copy,Purchase Intent,1,7,1,3,Claude
R_6v7FtH5zhON27qX,Watch,3,Human Image + Claude Copy,Visual Appeal,2,7,1,3,Claude
R_6v7FtH5zhON27qX,Watch,3,Human Image + Claude Copy,Value Convincing,3,7,1,3,Claude
R_6v7FtH5zhON27qX,Watch,3,Human Image + Claude Copy,Message Clarity,4,7,1,3,Claude
R_6v7FtH5zhON27qX,Watch,3,Human Image + Claude Copy,Trustworthiness,5,7,1,3,Claude
R_6v7FtH5zhON27qX,Watch,4,Human Image + Deepseek Copy,Purchase Intent,1,6,1,3,Deepseek
R_6v7FtH5zhON27qX,Watch,4,Human Image + Deepseek Copy,Visual Appeal,2,6,1,3,Deepseek
R_6v7FtH5zhON27qX,Watch,4,Human Image + Deepseek Copy,Value Convincing,3,6,1,3,Deepseek
R_6v7FtH5zhON27qX,Watch,4,Human Image + Deepseek Copy,Message Clarity,4,6,1,3,Deepseek
R_6v7FtH5zhON27qX,Watch,4,Human Image + Deepseek Copy,Trustworthiness,5,6,1,3,Deepseek
R_6v7FtH5zhON27qX,Watch,5,Human Image + Gemini Copy,Purchase Intent,1,5,1,3,Gemini
R_6v7FtH5zhON27qX,Watch,5,Human Image + Gemini Copy,Visual Appeal,2,6,1,3,Gemini
R_6v7FtH5zhON27qX,Watch,5,Human Image + Gemini Copy,Value Convincing,3,6,1,3,Gemini
R_6v7FtH5zhON27qX,Watch,5,Human Image + Gemini Copy,Message Clarity,4,5,1,3,Gemini
R_6v7FtH5zhON27qX,Watch,5,Human Image + Gemini Copy,Trustworthiness,5,5,1,3,Gemini
R_6v7FtH5zhON27qX,Watch,6,ChatGPT Image + Human Copy,Purchase Intent,1,6,1,3,ChatGPT
R_6v7FtH5zhON27qX,Watch,6,ChatGPT Image + Human Copy,Visual Appeal,2,5,1,3,ChatGPT
R_6v7FtH5zhON27qX,Watch,6,ChatGPT Image + Human Copy,Value Convincing,3,5,1,3,ChatGPT
R_6v7FtH5zhON27qX,Watch,6,ChatGPT Image + Human Copy,Message Clarity,4,5,1,3,ChatGPT
R_6v7FtH5zhON27qX,Watch,6,ChatGPT Image + Human Copy,Trustworthiness,5,6,1,3,ChatGPT
R_6v7FtH5zhON27qX,Watch,7,Claude Image + Human Copy,Purchase Intent,1,7,1,3,Claude
R_6v7FtH5zhON27qX,Watch,7,Claude Image + Human Copy,Visual Appeal,2,7,1,3,Claude
R_6v7FtH5zhON27qX,Watch,7,Claude Image + Human Copy,Value Convincing,3,7,1,3,Claude
R_6v7FtH5zhON27qX,Watch,7,Claude Image + Human Copy,Message Clarity,4,7,1,3,Claude
R_6v7FtH5zhON27qX,Watch,7,Claude Image + Human Copy,Trustworthiness,5,7,1,3,Claude
R_6v7FtH5zhON27qX,Watch,8,Deepseek Image + Human Copy,Purchase Intent,1,7,1,3,Deepseek
R_6v7FtH5zhON27qX,Watch,8,Deepseek Image + Human Copy,Visual Appeal,2,7,1,3,Deepseek
R_6v7FtH5zhON27qX,Watch,8,Deepseek Image + Human Copy,Value Convincing,3,7,1,3,Deepseek
R_6v7FtH5zhON27qX,Watch,8,Deepseek Image + Human Copy,Message Clarity,4,7,1,3,Deepseek
R_6v7FtH5zhON27qX,Watch,8,Deepseek Image + Human Copy,Trustworthiness,5,7,1,3,Deepseek
R_6v7FtH5zhON27qX,Watch,9,Gemini Image + Human Copy,Purchase Intent,1,5,1,3,Gemini
R_6v7FtH5zhON27qX,Watch,9,Gemini Image + Human Copy,Visual Appeal,2,5,1,3,Gemini
R_6v7FtH5zhON27qX,Watch,9,Gemini Image + Human Copy,Value Convincing,3,5,1,3,Gemini
R_6v7FtH5zhON27qX,Watch,9,Gemini Image + Human Copy,Message Clarity,4,5,1,3,Gemini
R_6v7FtH5zhON27qX,Watch,9,Gemini Image + Human Copy,Trustworthiness,5,5,1,3,Gemini
R_6v7FtH5zhON27qX,Watch,10,ChatGPT Both,Purchase Intent,1,5,1,3,ChatGPT
R_6v7FtH5zhON27qX,Watch,10,ChatGPT Both,Visual Appeal,2,5,1,3,ChatGPT
R_6v7FtH5zhON27qX,Watch,10,ChatGPT Both,Value Convincing,3,6,1,3,ChatGPT
R_6v7FtH5zhON27qX,Watch,10,ChatGPT Both,Message Clarity,4,6,1,3,ChatGPT
R_6v7FtH5zhON27qX,Watch,10,ChatGPT Both,Trustworthiness,5,6,1,3,ChatGPT
R_6v7FtH5zhON27qX,Watch,11,Claude Both,Purchase Intent,1,7,1,3,Claude
R_6v7FtH5zhON27qX,Watch,11,Claude Both,Visual Appeal,2,7,1,3,Claude
R_6v7FtH5zhON27qX,Watch,11,Claude Both,Value Convincing,3,7,1,3,Claude
R_6v7FtH5zhON27qX,Watch,11,Claude Both,Message Clarity,4,7,1,3,Claude
R_6v7FtH5zhON27qX,Watch,11,Claude Both,Trustworthiness,5,7,1,3,Claude
R_6v7FtH5zhON27qX,Watch,12,Deepseek Both,Purchase Intent,1,6,1,3,Deepseek
R_6v7FtH5zhON27qX,Watch,12,Deepseek Both,Visual Appeal,2,6,1,3,Deepseek
R_6v7FtH5zhON27qX,Watch,12,Deepseek Both,Value Convincing,3,6,1,3,Deepseek
R_6v7FtH5zhON27qX,Watch,12,Deepseek Both,Message Clarity,4,6,1,3,Deepseek
R_6v7FtH5zhON27qX,Watch,12,Deepseek Both,Trustworthiness,5,6,1,3,Deepseek
R_6v7FtH5zhON27qX,Watch,13,Gemini Both,Purchase Intent,1,4,1,3,Gemini
R_6v7FtH5zhON27qX,Watch,13,Gemini Both,Visual Appeal,2,2,1,3,Gemini
R_6v7FtH5zhON27qX,Watch,13,Gemini Both,Value Convincing,3,4,1,3,Gemini
R_6v7FtH5zhON27qX,Watch,13,Gemini Both,Message Clarity,4,4,1,3,Gemini
R_6v7FtH5zhON27qX,Watch,13,Gemini Both,Trustworthiness,5,5,1,3,Gemini
R_671cTbLk5psflhw,Watch,1,Human Both,Purchase Intent,1,3,1,3,Human
R_671cTbLk5psflhw,Watch,1,Human Both,Visual Appeal,2,4,1,3,Human
R_671cTbLk5psflhw,Watch,1,Human Both,Value Convincing,3,3,1,3,Human
R_671cTbLk5psflhw,Watch,1,Human Both,Message Clarity,4,7,1,3,Human
R_671cTbLk5psflhw,Watch,1,Human Both,Trustworthiness,5,7,1,3,Human
R_671cTbLk5psflhw,Watch,2,Human Image + ChatGPT Copy,Purchase Intent,1,7,1,3,ChatGPT
R_671cTbLk5psflhw,Watch,2,Human Image + ChatGPT Copy,Visual Appeal,2,4,1,3,ChatGPT
R_671cTbLk5psflhw,Watch,2,Human Image + ChatGPT Copy,Value Convincing,3,7,1,3,ChatGPT
R_671cTbLk5psflhw,Watch,2,Human Image + ChatGPT Copy,Message Clarity,4,4,1,3,ChatGPT
R_671cTbLk5psflhw,Watch,2,Human Image + ChatGPT Copy,Trustworthiness,5,7,1,3,ChatGPT
R_671cTbLk5psflhw,Watch,3,Human Image + Claude Copy,Purchase Intent,1,7,1,3,Claude
R_671cTbLk5psflhw,Watch,3,Human Image + Claude Copy,Visual Appeal,2,4,1,3,Claude
R_671cTbLk5psflhw,Watch,3,Human Image + Claude Copy,Value Convincing,3,6,1,3,Claude
R_671cTbLk5psflhw,Watch,3,Human Image + Claude Copy,Message Clarity,4,6,1,3,Claude
R_671cTbLk5psflhw,Watch,3,Human Image + Claude Copy,Trustworthiness,5,6,1,3,Claude
R_671cTbLk5psflhw,Watch,4,Human Image + Deepseek Copy,Purchase Intent,1,7,1,3,Deepseek
R_671cTbLk5psflhw,Watch,4,Human Image + Deepseek Copy,Visual Appeal,2,4,1,3,Deepseek
R_671cTbLk5psflhw,Watch,4,Human Image + Deepseek Copy,Value Convincing,3,4,1,3,Deepseek
R_671cTbLk5psflhw,Watch,4,Human Image + Deepseek Copy,Message Clarity,4,4,1,3,Deepseek
R_671cTbLk5psflhw,Watch,4,Human Image + Deepseek Copy,Trustworthiness,5,2,1,3,Deepseek
R_671cTbLk5psflhw,Watch,5,Human Image + Gemini Copy,Purchase Intent,1,1,1,3,Gemini
R_671cTbLk5psflhw,Watch,5,Human Image + Gemini Copy,Visual Appeal,2,4,1,3,Gemini
R_671cTbLk5psflhw,Watch,5,Human Image + Gemini Copy,Value Convincing,3,3,1,3,Gemini
R_671cTbLk5psflhw,Watch,5,Human Image + Gemini Copy,Message Clarity,4,3,1,3,Gemini
R_671cTbLk5psflhw,Watch,5,Human Image + Gemini Copy,Trustworthiness,5,6,1,3,Gemini
R_671cTbLk5psflhw,Watch,6,ChatGPT Image + Human Copy,Purchase Intent,1,3,1,3,ChatGPT
R_671cTbLk5psflhw,Watch,6,ChatGPT Image + Human Copy,Visual Appeal,2,5,1,3,ChatGPT
R_671cTbLk5psflhw,Watch,6,ChatGPT Image + Human Copy,Value Convincing,3,1,1,3,ChatGPT
R_671cTbLk5psflhw,Watch,6,ChatGPT Image + Human Copy,Message Clarity,4,6,1,3,ChatGPT
R_671cTbLk5psflhw,Watch,6,ChatGPT Image + Human Copy,Trustworthiness,5,4,1,3,ChatGPT
R_671cTbLk5psflhw,Watch,7,Claude Image + Human Copy,Purchase Intent,1,3,1,3,Claude
R_671cTbLk5psflhw,Watch,7,Claude Image + Human Copy,Visual Appeal,2,7,1,3,Claude
R_671cTbLk5psflhw,Watch,7,Claude Image + Human Copy,Value Convincing,3,1,1,3,Claude
R_671cTbLk5psflhw,Watch,7,Claude Image + Human Copy,Message Clarity,4,6,1,3,Claude
R_671cTbLk5psflhw,Watch,7,Claude Image + Human Copy,Trustworthiness,5,4,1,3,Claude
R_671cTbLk5psflhw,Watch,8,Deepseek Image + Human Copy,Purchase Intent,1,3,1,3,Deepseek
R_671cTbLk5psflhw,Watch,8,Deepseek Image + Human Copy,Visual Appeal,2,4,1,3,Deepseek
R_671cTbLk5psflhw,Watch,8,Deepseek Image + Human Copy,Value Convincing,3,1,1,3,Deepseek
R_671cTbLk5psflhw,Watch,8,Deepseek Image + Human Copy,Message Clarity,4,6,1,3,Deepseek
R_671cTbLk5psflhw,Watch,8,Deepseek Image + Human Copy,Trustworthiness,5,4,1,3,Deepseek
R_671cTbLk5psflhw,Watch,9,Gemini Image + Human Copy,Purchase Intent,1,3,1,3,Gemini
R_671cTbLk5psflhw,Watch,9,Gemini Image + Human Copy,Visual Appeal,2,1,1,3,Gemini
R_671cTbLk5psflhw,Watch,9,Gemini Image + Human Copy,Value Convincing,3,1,1,3,Gemini
R_671cTbLk5psflhw,Watch,9,Gemini Image + Human Copy,Message Clarity,4,6,1,3,Gemini
R_671cTbLk5psflhw,Watch,9,Gemini Image + Human Copy,Trustworthiness,5,4,1,3,Gemini
R_671cTbLk5psflhw,Watch,10,ChatGPT Both,Purchase Intent,1,4,1,3,ChatGPT
R_671cTbLk5psflhw,Watch,10,ChatGPT Both,Visual Appeal,2,3,1,3,ChatGPT
R_671cTbLk5psflhw,Watch,10,ChatGPT Both,Value Convincing,3,5,1,3,ChatGPT
R_671cTbLk5psflhw,Watch,10,ChatGPT Both,Message Clarity,4,4,1,3,ChatGPT
R_671cTbLk5psflhw,Watch,10,ChatGPT Both,Trustworthiness,5,4,1,3,ChatGPT
R_671cTbLk5psflhw,Watch,11,Claude Both,Purchase Intent,1,6,1,3,Claude
R_671cTbLk5psflhw,Watch,11,Claude Both,Visual Appeal,2,6,1,3,Claude
R_671cTbLk5psflhw,Watch,11,Claude Both,Value Convincing,3,5,1,3,Claude
R_671cTbLk5psflhw,Watch,11,Claude Both,Message Clarity,4,5,1,3,Claude
R_671cTbLk5psflhw,Watch,11,Claude Both,Trustworthiness,5,6,1,3,Claude
R_671cTbLk5psflhw,Watch,12,Deepseek Both,Purchase Intent,1,4,1,3,Deepseek
R_671cTbLk5psflhw,Watch,12,Deepseek Both,Visual Appeal,2,1,1,3,Deepseek
R_671cTbLk5psflhw,Watch,12,Deepseek Both,Value Convincing,3,3,1,3,Deepseek
R_671cTbLk5psflhw,Watch,12,Deepseek Both,Message Clarity,4,5,1,3,Deepseek
R_671cTbLk5psflhw,Watch,12,Deepseek Both,Trustworthiness,5,3,1,3,Deepseek
R_671cTbLk5psflhw,Watch,13,Gemini Both,Purchase Intent,1,2,1,3,Gemini
R_671cTbLk5psflhw,Watch,13,Gemini Both,Visual Appeal,2,1,1,3,Gemini
R_671cTbLk5psflhw,Watch,13,Gemini Both,Value Convincing,3,2,1,3,Gemini
R_671cTbLk5psflhw,Watch,13,Gemini Both,Message Clarity,4,3,1,3,Gemini
R_671cTbLk5psflhw,Watch,13,Gemini Both,Trustworthiness,5,2,1,3,Gemini
R_634MTKiz84DZY8F,Pillow,1,Human Both,Purchase Intent,1,6,1,3,Human
R_634MTKiz84DZY8F,Pillow,1,Human Both,Visual Appeal,2,6,1,3,Human
R_634MTKiz84DZY8F,Pillow,1,Human Both,Value Convincing,3,5,1,3,Human
R_634MTKiz84DZY8F,Pillow,1,Human Both,Message Clarity,4,4,1,3,Human
R_634MTKiz84DZY8F,Pillow,1,Human Both,Trustworthiness,5,6,1,3,Human
R_634MTKiz84DZY8F,Pillow,2,Human Image + ChatGPT Copy,Purchase Intent,1,6,1,3,ChatGPT
R_634MTKiz84DZY8F,Pillow,2,Human Image + ChatGPT Copy,Visual Appeal,2,6,1,3,ChatGPT
R_634MTKiz84DZY8F,Pillow,2,Human Image + ChatGPT Copy,Value Convincing,3,7,1,3,ChatGPT
R_634MTKiz84DZY8F,Pillow,2,Human Image + ChatGPT Copy,Message Clarity,4,7,1,3,ChatGPT
R_634MTKiz84DZY8F,Pillow,2,Human Image + ChatGPT Copy,Trustworthiness,5,7,1,3,ChatGPT
R_634MTKiz84DZY8F,Pillow,3,Human Image + Claude Copy,Purchase Intent,1,7,1,3,Claude
R_634MTKiz84DZY8F,Pillow,3,Human Image + Claude Copy,Visual Appeal,2,6,1,3,Claude
R_634MTKiz84DZY8F,Pillow,3,Human Image + Claude Copy,Value Convincing,3,7,1,3,Claude
R_634MTKiz84DZY8F,Pillow,3,Human Image + Claude Copy,Message Clarity,4,6,1,3,Claude
