ResponseId,ProductName,AdNumber,QuestionType,QuestionNumber,Rating,AgeGroup,ShoppingFreq,Duration
R_4dAB6hOE7ORFHXj,Phonecase,1,Purchase Intent,1,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,1,Visual Appeal,2,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,1,Value Convincing,3,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,1,Message Clarity,4,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,1,Trustworthiness,5,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,2,Purchase Intent,1,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,2,Visual Appeal,2,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,2,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,2,Message Clarity,4,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,2,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,3,Purchase Intent,1,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,3,Visual Appeal,2,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,3,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,3,Message Clarity,4,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,3,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,4,Purchase Intent,1,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,4,Visual Appeal,2,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,4,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,4,Message Clarity,4,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,4,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,5,Purchase Intent,1,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,5,Visual Appeal,2,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,5,Value Convincing,3,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,5,Message Clarity,4,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,5,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,6,Purchase Intent,1,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,6,Visual Appeal,2,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,6,Value Convincing,3,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,6,Message Clarity,4,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,6,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,7,Purchase Intent,1,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,7,Visual Appeal,2,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,7,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,7,Message Clarity,4,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,7,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,8,Purchase Intent,1,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,8,Visual Appeal,2,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,8,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,8,Message Clarity,4,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,8,Trustworthiness,5,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,9,Purchase Intent,1,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,9,Visual Appeal,2,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,9,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,9,Message Clarity,4,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,9,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,10,Purchase Intent,1,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,10,Visual Appeal,2,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,10,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,10,Message Clarity,4,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,10,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,11,Purchase Intent,1,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,11,Visual Appeal,2,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,11,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,11,Message Clarity,4,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,11,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,12,Purchase Intent,1,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,12,Visual Appeal,2,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,12,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,12,Message Clarity,4,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,12,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,13,Purchase Intent,1,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,13,Visual Appeal,2,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,13,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,13,Message Clarity,4,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,13,Trustworthiness,5,4,,,218
R_9dMLWHZS9wwgUlX,T-Shirt,1,Purchase Intent,1,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,1,Visual Appeal,2,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,1,Value Convincing,3,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,1,Message Clarity,4,5,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,1,Trustworthiness,5,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,3,Purchase Intent,1,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,3,Visual Appeal,2,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,3,Value Convincing,3,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,3,Message Clarity,4,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,3,Trustworthiness,5,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,4,Purchase Intent,1,5,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,4,Visual Appeal,2,5,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,4,Value Convincing,3,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,4,Message Clarity,4,3,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,4,Trustworthiness,5,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,5,Purchase Intent,1,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,5,Visual Appeal,2,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,5,Value Convincing,3,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,5,Message Clarity,4,5,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,5,Trustworthiness,5,5,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,6,Purchase Intent,1,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,6,Visual Appeal,2,3,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,6,Value Convincing,3,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,6,Message Clarity,4,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,6,Trustworthiness,5,3,,,351
R_44GUXr08nvquzx9,Coffee Mug,1,Purchase Intent,1,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,1,Visual Appeal,2,2,,,647
R_44GUXr08nvquzx9,Coffee Mug,1,Value Convincing,3,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,1,Message Clarity,4,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,1,Trustworthiness,5,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,2,Purchase Intent,1,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,2,Visual Appeal,2,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,2,Value Convincing,3,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,2,Message Clarity,4,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,2,Trustworthiness,5,2,,,647
R_44GUXr08nvquzx9,Coffee Mug,3,Purchase Intent,1,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,3,Visual Appeal,2,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,3,Value Convincing,3,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,3,Message Clarity,4,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,3,Trustworthiness,5,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,4,Purchase Intent,1,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,4,Visual Appeal,2,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,4,Value Convincing,3,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,4,Message Clarity,4,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,4,Trustworthiness,5,2,,,647
R_44GUXr08nvquzx9,Coffee Mug,5,Purchase Intent,1,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,5,Visual Appeal,2,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,5,Value Convincing,3,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,5,Message Clarity,4,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,5,Trustworthiness,5,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,6,Purchase Intent,1,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,6,Visual Appeal,2,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,6,Value Convincing,3,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,6,Message Clarity,4,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,6,Trustworthiness,5,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,7,Purchase Intent,1,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,7,Visual Appeal,2,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,7,Value Convincing,3,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,7,Message Clarity,4,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,7,Trustworthiness,5,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,8,Purchase Intent,1,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,8,Visual Appeal,2,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,8,Value Convincing,3,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,8,Message Clarity,4,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,8,Trustworthiness,5,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,9,Purchase Intent,1,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,9,Visual Appeal,2,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,9,Value Convincing,3,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,9,Message Clarity,4,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,9,Trustworthiness,5,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,10,Purchase Intent,1,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,10,Visual Appeal,2,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,10,Value Convincing,3,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,10,Message Clarity,4,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,10,Trustworthiness,5,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,11,Purchase Intent,1,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,11,Visual Appeal,2,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,11,Value Convincing,3,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,11,Message Clarity,4,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,11,Trustworthiness,5,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,12,Purchase Intent,1,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,12,Visual Appeal,2,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,12,Value Convincing,3,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,12,Message Clarity,4,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,12,Trustworthiness,5,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,13,Purchase Intent,1,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,13,Visual Appeal,2,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,13,Value Convincing,3,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,13,Message Clarity,4,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,13,Trustworthiness,5,5,,,647
R_6kGqz2eTlFfPUtZ,Phonecase,1,Purchase Intent,1,5,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,1,Visual Appeal,2,5,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,1,Value Convincing,3,5,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,1,Message Clarity,4,4,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,1,Trustworthiness,5,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,2,Purchase Intent,1,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,2,Visual Appeal,2,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,2,Value Convincing,3,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,2,Message Clarity,4,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,2,Trustworthiness,5,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,3,Purchase Intent,1,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,3,Visual Appeal,2,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,3,Value Convincing,3,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,3,Message Clarity,4,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,3,Trustworthiness,5,2,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,4,Purchase Intent,1,2,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,4,Visual Appeal,2,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,4,Value Convincing,3,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,4,Message Clarity,4,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,4,Trustworthiness,5,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,5,Purchase Intent,1,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,5,Visual Appeal,2,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,5,Value Convincing,3,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,5,Message Clarity,4,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,5,Trustworthiness,5,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,6,Purchase Intent,1,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,6,Visual Appeal,2,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,6,Value Convincing,3,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,6,Message Clarity,4,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,6,Trustworthiness,5,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,7,Purchase Intent,1,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,7,Visual Appeal,2,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,7,Value Convincing,3,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,7,Message Clarity,4,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,7,Trustworthiness,5,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,8,Purchase Intent,1,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,8,Visual Appeal,2,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,8,Value Convincing,3,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,8,Message Clarity,4,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,8,Trustworthiness,5,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,9,Purchase Intent,1,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,9,Visual Appeal,2,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,9,Value Convincing,3,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,9,Message Clarity,4,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,9,Trustworthiness,5,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,10,Purchase Intent,1,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,10,Visual Appeal,2,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,10,Value Convincing,3,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,10,Message Clarity,4,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,10,Trustworthiness,5,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,11,Purchase Intent,1,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,11,Visual Appeal,2,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,11,Value Convincing,3,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,11,Message Clarity,4,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,11,Trustworthiness,5,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,12,Purchase Intent,1,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,12,Visual Appeal,2,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,12,Value Convincing,3,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,12,Message Clarity,4,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,12,Trustworthiness,5,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,13,Purchase Intent,1,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,13,Visual Appeal,2,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,13,Value Convincing,3,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,13,Message Clarity,4,3,,,240
R_6kGqz2eTlFfPUtZ,Phonecase,13,Trustworthiness,5,3,,,240
R_6g6PYHs2IdqKlSi,Backpack,1,Purchase Intent,1,2,,,494
R_6g6PYHs2IdqKlSi,Backpack,1,Visual Appeal,2,1,,,494
R_6g6PYHs2IdqKlSi,Backpack,1,Value Convincing,3,3,,,494
R_6g6PYHs2IdqKlSi,Backpack,1,Message Clarity,4,5,,,494
R_6g6PYHs2IdqKlSi,Backpack,1,Trustworthiness,5,2,,,494
R_6g6PYHs2IdqKlSi,Backpack,2,Purchase Intent,1,4,,,494
R_6g6PYHs2IdqKlSi,Backpack,2,Visual Appeal,2,2,,,494
R_6g6PYHs2IdqKlSi,Backpack,2,Value Convincing,3,4,,,494
R_6g6PYHs2IdqKlSi,Backpack,2,Message Clarity,4,4,,,494
R_6g6PYHs2IdqKlSi,Backpack,2,Trustworthiness,5,5,,,494
R_6g6PYHs2IdqKlSi,Backpack,3,Purchase Intent,1,3,,,494
R_6g6PYHs2IdqKlSi,Backpack,3,Visual Appeal,2,3,,,494
R_6g6PYHs2IdqKlSi,Backpack,3,Value Convincing,3,3,,,494
R_6g6PYHs2IdqKlSi,Backpack,3,Message Clarity,4,2,,,494
R_6g6PYHs2IdqKlSi,Backpack,3,Trustworthiness,5,3,,,494
R_6g6PYHs2IdqKlSi,Backpack,4,Purchase Intent,1,4,,,494
R_6g6PYHs2IdqKlSi,Backpack,4,Visual Appeal,2,4,,,494
R_6g6PYHs2IdqKlSi,Backpack,4,Value Convincing,3,3,,,494
R_6g6PYHs2IdqKlSi,Backpack,4,Message Clarity,4,5,,,494
R_6g6PYHs2IdqKlSi,Backpack,4,Trustworthiness,5,4,,,494
R_6g6PYHs2IdqKlSi,Backpack,5,Purchase Intent,1,1,,,494
R_6g6PYHs2IdqKlSi,Backpack,5,Visual Appeal,2,1,,,494
R_6g6PYHs2IdqKlSi,Backpack,5,Value Convincing,3,1,,,494
R_6g6PYHs2IdqKlSi,Backpack,5,Message Clarity,4,2,,,494
R_6g6PYHs2IdqKlSi,Backpack,5,Trustworthiness,5,1,,,494
R_6g6PYHs2IdqKlSi,Backpack,6,Purchase Intent,1,4,,,494
R_6g6PYHs2IdqKlSi,Backpack,6,Visual Appeal,2,4,,,494
R_6g6PYHs2IdqKlSi,Backpack,6,Value Convincing,3,3,,,494
R_6g6PYHs2IdqKlSi,Backpack,6,Message Clarity,4,4,,,494
R_6g6PYHs2IdqKlSi,Backpack,6,Trustworthiness,5,4,,,494
R_6g6PYHs2IdqKlSi,Backpack,7,Purchase Intent,1,5,,,494
R_6g6PYHs2IdqKlSi,Backpack,7,Visual Appeal,2,5,,,494
R_6g6PYHs2IdqKlSi,Backpack,7,Value Convincing,3,5,,,494
R_6g6PYHs2IdqKlSi,Backpack,7,Message Clarity,4,5,,,494
R_6g6PYHs2IdqKlSi,Backpack,7,Trustworthiness,5,5,,,494
R_6g6PYHs2IdqKlSi,Backpack,8,Purchase Intent,1,3,,,494
R_6g6PYHs2IdqKlSi,Backpack,8,Visual Appeal,2,3,,,494
R_6g6PYHs2IdqKlSi,Backpack,8,Value Convincing,3,2,,,494
R_6g6PYHs2IdqKlSi,Backpack,8,Message Clarity,4,4,,,494
R_6g6PYHs2IdqKlSi,Backpack,8,Trustworthiness,5,2,,,494
R_6g6PYHs2IdqKlSi,Backpack,9,Purchase Intent,1,2,,,494
R_6g6PYHs2IdqKlSi,Backpack,9,Visual Appeal,2,2,,,494
R_6g6PYHs2IdqKlSi,Backpack,9,Value Convincing,3,2,,,494
R_6g6PYHs2IdqKlSi,Backpack,9,Message Clarity,4,4,,,494
R_6g6PYHs2IdqKlSi,Backpack,9,Trustworthiness,5,3,,,494
R_6g6PYHs2IdqKlSi,Backpack,10,Purchase Intent,1,4,,,494
R_6g6PYHs2IdqKlSi,Backpack,10,Visual Appeal,2,4,,,494
R_6g6PYHs2IdqKlSi,Backpack,10,Value Convincing,3,4,,,494
R_6g6PYHs2IdqKlSi,Backpack,10,Message Clarity,4,4,,,494
R_6g6PYHs2IdqKlSi,Backpack,10,Trustworthiness,5,4,,,494
R_6g6PYHs2IdqKlSi,Backpack,11,Purchase Intent,1,5,,,494
R_6g6PYHs2IdqKlSi,Backpack,11,Visual Appeal,2,5,,,494
R_6g6PYHs2IdqKlSi,Backpack,11,Value Convincing,3,5,,,494
R_6g6PYHs2IdqKlSi,Backpack,11,Message Clarity,4,5,,,494
R_6g6PYHs2IdqKlSi,Backpack,11,Trustworthiness,5,5,,,494
R_6g6PYHs2IdqKlSi,Backpack,12,Purchase Intent,1,3,,,494
R_6g6PYHs2IdqKlSi,Backpack,12,Visual Appeal,2,3,,,494
R_6g6PYHs2IdqKlSi,Backpack,12,Value Convincing,3,3,,,494
R_6g6PYHs2IdqKlSi,Backpack,12,Message Clarity,4,5,,,494
R_6g6PYHs2IdqKlSi,Backpack,12,Trustworthiness,5,4,,,494
R_6g6PYHs2IdqKlSi,Backpack,13,Purchase Intent,1,2,,,494
R_6g6PYHs2IdqKlSi,Backpack,13,Visual Appeal,2,2,,,494
R_6g6PYHs2IdqKlSi,Backpack,13,Value Convincing,3,3,,,494
R_6g6PYHs2IdqKlSi,Backpack,13,Message Clarity,4,4,,,494
R_6g6PYHs2IdqKlSi,Backpack,13,Trustworthiness,5,2,,,494
R_4DLOsv6dEcw5Na2,Backpack,1,Purchase Intent,1,2,,,48337
R_4DLOsv6dEcw5Na2,Backpack,1,Visual Appeal,2,2,,,48337
R_4DLOsv6dEcw5Na2,Backpack,1,Value Convincing,3,2,,,48337
R_4DLOsv6dEcw5Na2,Backpack,1,Message Clarity,4,4,,,48337
R_4DLOsv6dEcw5Na2,Backpack,1,Trustworthiness,5,2,,,48337
R_4DLOsv6dEcw5Na2,Backpack,2,Purchase Intent,1,2,,,48337
R_4DLOsv6dEcw5Na2,Backpack,2,Visual Appeal,2,2,,,48337
R_4DLOsv6dEcw5Na2,Backpack,2,Value Convincing,3,3,,,48337
R_4DLOsv6dEcw5Na2,Backpack,2,Message Clarity,4,4,,,48337
R_4DLOsv6dEcw5Na2,Backpack,2,Trustworthiness,5,2,,,48337
R_4DLOsv6dEcw5Na2,Backpack,3,Purchase Intent,1,2,,,48337
R_4DLOsv6dEcw5Na2,Backpack,3,Visual Appeal,2,2,,,48337
R_4DLOsv6dEcw5Na2,Backpack,3,Value Convincing,3,2,,,48337
R_4DLOsv6dEcw5Na2,Backpack,3,Message Clarity,4,5,,,48337
R_4DLOsv6dEcw5Na2,Backpack,3,Trustworthiness,5,2,,,48337
R_4DLOsv6dEcw5Na2,Backpack,4,Purchase Intent,1,2,,,48337
R_4DLOsv6dEcw5Na2,Backpack,4,Visual Appeal,2,2,,,48337
R_4DLOsv6dEcw5Na2,Backpack,4,Value Convincing,3,2,,,48337
R_4DLOsv6dEcw5Na2,Backpack,4,Message Clarity,4,4,,,48337
